"Hour,Volume,Price"
"4,3938,52"
"4,3938,54"
"4,3940.4,54"
"4,3940.4,55.1"
"4,3945.2,55.1"
"4,3945.2,57"
"4,3947.1,57"
"4,3947.1,57.4"
"4,3947.2,57.4"
"4,3947.2,58"
"4,3972.2,58"
"4,3972.2,59.9"
"4,3976.4,59.9"
"4,3979.7,59.9"
"4,3979.7,60"
"4,3993.7,60"
"4,3993.7,60.1"
"4,3999.9,60.1"
"4,3999.9,62"
"4,4024.9,62"
"4,4024.9,63"
"4,4034.6,63"
"4,4034.6,64.9"
"4,4038.1,64.9"
"4,4038.3,64.9"
"4,4038.3,65"
"4,4040.9,65"
"4,4040.9,65.1"
"4,4042.7,65.1"
"4,4042.7,67"
"4,4045.6,67"
"4,4045.6,69"
"4,4048.2,69"
"4,4048.2,69.9"
"4,4056.1,69.9"
"4,4057.5,69.9"
"4,4057.5,70"
"4,4060.3,70"
"4,4060.3,70.1"
"4,4083.8,70.1"
"4,4083.8,73"
"4,4084.9,73"
"4,4084.9,74.9"
"4,4090.1,74.9"
"4,4090.1,75"
"4,4091.1,75"
"4,4091.1,75.1"
"4,4091.7,75.1"
"4,4091.7,78"
"4,4095.7,78"
"4,4095.7,79.9"
"4,4114.2,79.9"
"4,4116.4,79.9"
"4,4116.4,80"
"4,4143.4,80"
"4,4143.4,80.1"
"4,4152.2,80.1"
"4,4152.2,84.9"
"4,4159,84.9"
"4,4162.6,84.9"
"4,4162.6,87"
"4,4164,87"
"4,4164,88"
"4,4164.9,88"
"4,4164.9,89.9"
"4,4171.3,89.9"
"4,4171.5,89.9"
"4,4171.5,90"
"4,4177.3,90"
"4,4177.3,90.1"
"4,4190.3,90.1"
"4,4190.3,94.9"
"4,4191.7,94.9"
"4,4191.7,95"
"4,4192.4,95"
"4,4192.4,98"
"4,4218,98"
"4,4218,99.9"
"4,4229.2,99.9"
"4,4230.7,99.9"
"4,4230.7,100"
"4,4244.2,100"
"4,4244.2,100.1"
"4,4280.3,100.1"
"4,4280.3,104.9"
"4,4284.4,104.9"
"4,4284.6,104.9"
"4,4284.6,109.9"
"4,4286.8,109.9"
"4,4286.8,114.9"
"4,4287.9,114.9"
"4,4287.9,119.9"
"4,4290.9,119.9"
"4,4290.9,124.9"
"4,4294.7,124.9"
"4,4294.7,129.9"
"4,4297.5,129.9"
"4,4297.5,134.9"
"4,4299.9,134.9"
"4,4299.9,138"
"4,4324.9,138"
"4,4324.9,139.9"
"4,4326.8,139.9"
"4,4326.8,144.9"
"4,4327.6,144.9"
"4,4327.6,149.9"
"4,4327.8,149.9"
"4,4327.8,150"
"4,4360.1,150"
"4,4361.1,150"
"4,4361.1,150.1"
"4,4384.7,150.1"
"4,4384.7,159.9"
"4,4386.1,159.9"
"4,4386.1,164.9"
"4,4387.1,164.9"
"4,4387.1,174.9"
"4,4387.6,174.9"
"4,4387.6,188"
"4,4437.6,188"
"4,4437.6,190.1"
"4,4441.6,190.1"
"4,4441.6,194.9"
"4,4442.6,194.9"
"4,4442.6,200"
"4,4449.8,200"
"4,4449.8,200.1"
"4,4463.8,200.1"
"4,4463.8,238"
"4,4538.8,238"
"4,4538.8,299.9"
"4,4545.8,299.9"
"4,4545.8,300"
"4,4634.8,300"
"4,4634.8,300.1"
"4,4636.3,300.1"
"4,4636.3,350.1"
"4,4640.3,350.1"
"4,4640.3,399.9"
"4,4645.2,399.9"
"4,4645.2,499.9"
"4,4647.7,499.9"
"4,4647.7,699.9"
"4,4648.2,699.9"
"4,4648.2,799.9"
"4,4649.3,799.9"
"4,4649.4,799.9"
"4,4649.4,999.9"
"4,4657.9,999.9"
"4,4668.4,999.9"
"4,4668.4,2500"
"4,4668.7,2500"
"4,4668.7,2999"
"4,4736.9,2999"
"4,4736.9,3000"
"5,3232.6,-500"
"5,3232.6,-200"
"5,3377.6,-200"
"5,3377.6,-150"
"5,3439.3,-150"
"5,3439.3,-100"
"5,3545.9,-100"
"5,3545.9,-50"
"5,3575.9,-50"
"5,3575.9,-44.7"
"5,3691.6,-44.7"
"5,3691.6,-25"
"5,3694.1,-25"
"5,3694.1,-0.5"
"5,3694.2,-0.5"
"5,3694.2,1"
"5,3701.7,1"
"5,3701.7,10"
"5,3702.8,10"
"5,3702.8,13"
"5,3704.2,13"
"5,3704.2,13.4"
"5,3714.3,13.4"
"5,3714.3,13.7"
"5,3724.4,13.7"
"5,3724.4,14"
"5,3726.8,14"
"5,3726.8,14.5"
"5,3736.9,14.5"
"5,3736.9,15"
"5,3738.4,15"
"5,3738.4,16.5"
"5,3751.4,16.5"
"5,3751.4,17"
"5,3751.5,17"
"5,3751.5,18.4"
"5,3761.6,18.4"
"5,3761.6,25"
"5,3766.1,25"
"5,3766.1,26.1"
"5,3776.2,26.1"
"5,3776.2,28"
"5,3777.8,28"
"5,3777.8,29"
"5,3787.9,29"
"5,3787.9,30"
"5,3788.8,30"
"5,3788.8,30.1"
"5,3790,30.1"
"5,3790,35"
"5,3791.7,35"
"5,3791.7,35.1"
"5,3792.2,35.1"
"5,3792.2,36"
"5,3793.9,36"
"5,3793.9,38.5"
"5,3799.6,38.5"
"5,3799.6,39.5"
"5,3799.9,39.5"
"5,3799.9,40"
"5,3802.9,40"
"5,3802.9,40.5"
"5,3805.5,40.5"
"5,3805.5,42"
"5,3806.4,42"
"5,3806.4,43.5"
"5,3808,43.5"
"5,3808,44.5"
"5,3811.8,44.5"
"5,3811.8,45"
"5,3812.7,45"
"5,3812.7,45.1"
"5,3856.4,45.1"
"5,3856.4,45.5"
"5,3858.2,45.5"
"5,3858.2,47"
"5,3864.5,47"
"5,3864.5,47.5"
"5,3866.4,47.5"
"5,3866.4,48"
"5,3870.8,48"
"5,3870.8,49"
"5,3877.5,49"
"5,3877.5,49.5"
"5,3879.3,49.5"
"5,3879.3,50"
"5,3886.8,50"
"5,3886.8,50.1"
"5,3888.2,50.1"
"5,3888.2,50.5"
"5,3890.1,50.5"
"5,3890.1,51.5"
"5,3891.6,51.5"
"5,3891.6,52"
"5,3896.6,52"
"5,3896.6,54"
"5,3899,54"
"5,3899,55.1"
"5,3903.8,55.1"
"5,3903.8,57"
"5,3905.6,57"
"5,3905.6,59"
"5,3930.6,59"
"5,3930.6,59.9"
"5,3933.2,59.9"
"5,3933.2,60"
"5,3947,60"
"5,3947.1,60"
"5,3947.1,60.1"
"5,3953.3,60.1"
"5,3953.3,62"
"5,3978.3,62"
"5,3978.3,63"
"5,3988.1,63"
"5,3988.1,64.9"
"5,3991.6,64.9"
